,Question,Answer
0,Can I open the FiftyOne App in a browser?,"Yes! In fact, this is the default behavior. Unless you're workingin a notebook, the App will open in your default
web browser whenever you calllaunch_app(). Check out theenvironments guideto see how to use
FiftyOne in all common local, remote, cloud, and notebook environments."
1,Which web browsers does the FiftyOne App support?,"TheFiftyOne Appfully supports Chrome, Firefox, and
Safari. You may find success using browsers like Edge, Opera, or Chromium, but your
mileage will vary. Internet Explorer is explicitly unsupported at this time."
2,Why isn't the App opening? Not connected to a session?,"When you callfo.launch_app()to
launch theFiftyOne App, the App will launch
asynchronously and return control to your Python process. The App will then
remain connected until the process exits. If you are using the App in a script, you should usesession.wait()to block execution
until you close it manually: If you launch the App in a script without includingsession.wait(), the App's
connection will close when the script exits, and you will see a message like
âIt looks like you are not connected to a sessionâ in the browser tab that was
opened."
3,Why can't I open the App from a script on Windows?,"If you are a Windows user launching theFiftyOne Appfrom
a script, you should use the pattern below to avoidmultiprocessing issues, since the App
is served via a separate process: Seethis sectionfor more details."
4,Can I use FiftyOne in a notebook?,"Yes! FiftyOne supportsJupyter Notebooks,Google Colab Notebooks,Databricks Notebooks,
andSageMaker Notebooks. All the usual FiftyOne commands can be run in notebook environments, and the
App will launch/update in the output of your notebook cells! Check out thenotebook environment guidefor more
information about running FiftyOne in notebooks."
5,Why isn't the App loading in my cloud notebook?,"Except forGoogle ColabandDatabrickswhich have
built-in App configuration, when working in a cloud notebook aproxy_urlshould be set in yourFiftyOne App config."
6,Can I use FiftyOne in a remote notebook?,"Yes! It is possible to work with a Jupyter notebook in your local browser that
is served from a remote machine. Refer tothis sectionof the environment guide for
instructions to achieve this."
7,Can I restrict access to my remote App instance?,"By default,remote App sessionswill listen to any
connection to their ports. However, if desired, you can restrict access to an
App session to a particular IP address or hostname byfollowing these instructions."
8,Why aren't plots appearing in my notebook?,"If you are trying toview plotsin a Jupyter
notebook but nothing appears after you callplot.show(), then you likely need
tofollow these instructionsto install the
proper packages and/or Jupyter notebook extensions. If the proper packages are installed but plots are still not displaying, try
including the following commands in your notebook before creating any plots:"
9,Can I access data stored on a remote server?,"Yes! If you install FiftyOne on both your remote server and local machine, then
you canload a dataset remotelyand then explore it via anApp session on your local machine."
10,Can I access data stored in the cloud?,Yes! Check outFiftyOne Enterprise.
11,What operating systems does FiftyOne support?,"FiftyOne officially supports the latest versions of MacOS and Windows, as well
as Amazon Linux 2 and 2023, Debian 9+ (x86_64 only), Ubuntu 18.04+, and
RHEL/CentOS 7+. [NOTE: Note If installing on Ubuntu 22.04+, Debian, or RHEL/CentOS, fiftyone-db==0.4.3 must be requested. pip install fiftyone-db == 0 .4.3 fiftyone]"
12,What image file types are supported?,"In general, FiftyOne supports all image typessupported by your browser,
which includes standard image types like JPEG, PNG, and BMP. Some browsers like Safari natively support other image types such as TIFF,
while others do not. You may be able to install a browser extension to work
with additional image types, but Voxel51 does not currently recommend any
such extensions in particular."
13,What video file types are supported?,"Core methods that process videos can generally handle anycodec supported by FFmpeg. The App can play any video codec that is supported byHTML5 video on your browser,
including MP4 (H.264), WebM, and Ogg. If you try to view a video with an
unsupported codec in the App, you will be prompted to use thereencode_videos()utility method
to re-encode the source video so it is viewable in the App. [NOTE: Note You must install FFmpeg in order to work with video
datasets in FiftyOne. See this page for
installation instructions.]"
14,What label types are supported?,"FiftyOne provides support for all of the following label types for both image
and video datasets: Check outthis guidefor simple recipes to
load labels in these formats."
