,Question,Answer
0,How do I reset my password?,"Visit the login page, click 'Forgot Password,' and follow the instructions to reset it."
1,Can I change my email address?,"Yes, go to 'Account Settings' > 'Personal Information' to update your email."
2,How do I delete my account?,Contact support via the 'Help Center' to request account deletion.
3,Why was my payment declined?,Common reasons include insufficient funds or incorrect card details. Verify and try again.
4,How long do refunds take?,Refunds typically process within 5-7 business days after approval.
5,Can I use multiple payment methods?,"Yes, during checkout select 'Split Payment' to use multiple options."
6,Where is my order confirmation email?,Check your spam/junk folder. It’s sent immediately after purchase.
7,How do I track my shipment?,Use the tracking number in your order confirmation email or account dashboard.
8,What are your delivery hours?,"Deliveries occur between 9 AM and 8 PM, Monday-Saturday."
9,How do I return an item?,Initiate a return via the 'Order History' page and follow the instructions.
10,What is your return window?,Returns are accepted within 30 days of delivery for unused items.
11,How do I contact customer service?,Call 1-800-HELP or use the live chat option on our website.
12,Do you offer international shipping?,"Yes, we ship to 50+ countries. Check rates during checkout."
13,Why is my order delayed?,"Delays may occur due to weather, customs, or high demand. Check tracking for updates."
14,Can I cancel an order?,Orders can be canceled within 1 hour of placement via 'Order History.
15,How do I update my billing address?,Go to 'Payment Methods' in your account to edit billing details.
16,Do you have a mobile app?,"Yes, download it from the App Store or Google Play."
17,How do I unsubscribe from emails?,Click 'Unsubscribe' at the bottom of any marketing email.
18,Are my details secure?,We use SSL encryption and never share your data with third parties.
19,What is two-factor authentication?,An extra security step requiring a code sent to your phone/email.
20,How do I redeem a promo code?,Enter the code at checkout under 'Apply Discount.
21,What’s your price match policy?,We match competitors’ prices within 48 hours of purchase. Contact us for details.
22,Do you sell gift cards?,"Yes, purchase digital or physical gift cards on our 'Gifts' page."
23,Can I pre-order items?,"Yes, select items labeled 'Pre-Order' will ship on their release date."
24,What if an item is out of stock?,Sign up for restock alerts on the product page.
25,Do you offer warranties?,Most products include a 1-year manufacturer warranty. Check product details.
26,How do I apply for a job?,Visit our Careers page to view openings and submit an application.
27,Where is your company located?,"Our headquarters are in San Francisco, CA. See the Contact Us page for details."
28,How do I report a bug?,Email support@example.com with 'Bug Report' in the subject line.
29,What browsers do you support?,"We support Chrome, Firefox, Safari, and Edge (latest versions)."
30,Why is the website slow?,Clear your browser cache or try accessing it from a different device.
31,Do you have a loyalty program?,Yes! Earn points with every purchase. Learn more in the 'Rewards' section.
32,How do I check my reward points?,Log in and visit the 'Rewards Dashboard' in your account.
33,Can I transfer my reward points?,Points are non-transferable and tied to your account.
34,What’s your privacy policy?,Read our full policy here: https://example.com/privacy.
35,Do you partner with charities?,"Yes, 1% of all sales go to our nonprofit partners. Learn more here."
36,Are products tested on animals?,We are a cruelty-free brand and never test on animals.
37,Do you offer student discounts?,Yes! Verify your student status with SheerID for a 10% discount.
38,Can I change my order’s shipping address?,Contact support immediately if the order hasn’t shipped.
39,What’s your exchange policy?,Exchanges are free within 14 days. Start the process in 'Order History.
40,How do I leave a product review?,"Log in, go to the product page, and click 'Write a Review."
41,Are your products eco-friendly?,All items are made with 100% recycled materials.
42,Do you offer bulk discounts?,Contact sales@example.com for bulk pricing.
43,What payment methods do you accept?,"We accept credit/debit cards, PayPal, and Apple Pay."
44,Is my payment information saved?,Card details are encrypted and never stored unless you opt in.
45,How do I update my phone number?,Go to 'Account Settings' > 'Personal Information' to edit it.
46,What’s your customer service hours?,Support is available 24/7 via live chat and phone.
47,Do you have a physical store?,We’re online-only but offer free returns at partnered retail locations.
48,Can I donate my reward points?,Yes! Redeem points for charity donations in the Rewards Dashboard.
49,How do I reset two-factor authentication?,Contact support for verification to reset your 2FA settings.
50,Can I pause my subscription?,"Yes, go to 'Subscriptions' in your account to pause or skip a month."
51,Can I open the FiftyOne App in a browser?,"Yes! In fact, this is the default behavior. Unless you're workingin a notebook, the App will open in your default
web browser whenever you calllaunch_app(). Check out theenvironments guideto see how to use
FiftyOne in all common local, remote, cloud, and notebook environments."
52,Which web browsers does the FiftyOne App support?,"TheFiftyOne Appfully supports Chrome, Firefox, and
Safari. You may find success using browsers like Edge, Opera, or Chromium, but your
mileage will vary. Internet Explorer is explicitly unsupported at this time."
53,Why isn't the App opening? Not connected to a session?,"When you callfo.launch_app()to
launch theFiftyOne App, the App will launch
asynchronously and return control to your Python process. The App will then
remain connected until the process exits. If you are using the App in a script, you should usesession.wait()to block execution
until you close it manually: If you launch the App in a script without includingsession.wait(), the App's
connection will close when the script exits, and you will see a message like
âIt looks like you are not connected to a sessionâ in the browser tab that was
opened."
54,Why can't I open the App from a script on Windows?,"If you are a Windows user launching theFiftyOne Appfrom
a script, you should use the pattern below to avoidmultiprocessing issues, since the App
is served via a separate process: Seethis sectionfor more details."
55,Can I use FiftyOne in a notebook?,"Yes! FiftyOne supportsJupyter Notebooks,Google Colab Notebooks,Databricks Notebooks,
andSageMaker Notebooks. All the usual FiftyOne commands can be run in notebook environments, and the
App will launch/update in the output of your notebook cells! Check out thenotebook environment guidefor more
information about running FiftyOne in notebooks."
56,Why isn't the App loading in my cloud notebook?,"Except forGoogle ColabandDatabrickswhich have
built-in App configuration, when working in a cloud notebook aproxy_urlshould be set in yourFiftyOne App config."
57,Can I use FiftyOne in a remote notebook?,"Yes! It is possible to work with a Jupyter notebook in your local browser that
is served from a remote machine. Refer tothis sectionof the environment guide for
instructions to achieve this."
58,Can I restrict access to my remote App instance?,"By default,remote App sessionswill listen to any
connection to their ports. However, if desired, you can restrict access to an
App session to a particular IP address or hostname byfollowing these instructions."
59,Why aren't plots appearing in my notebook?,"If you are trying toview plotsin a Jupyter
notebook but nothing appears after you callplot.show(), then you likely need
tofollow these instructionsto install the
proper packages and/or Jupyter notebook extensions. If the proper packages are installed but plots are still not displaying, try
including the following commands in your notebook before creating any plots:"
60,Can I access data stored on a remote server?,"Yes! If you install FiftyOne on both your remote server and local machine, then
you canload a dataset remotelyand then explore it via anApp session on your local machine."
61,Can I access data stored in the cloud?,Yes! Check outFiftyOne Enterprise.
62,What operating systems does FiftyOne support?,"FiftyOne officially supports the latest versions of MacOS and Windows, as well
as Amazon Linux 2 and 2023, Debian 9+ (x86_64 only), Ubuntu 18.04+, and
RHEL/CentOS 7+. [NOTE: Note If installing on Ubuntu 22.04+, Debian, or RHEL/CentOS, fiftyone-db==0.4.3 must be requested. pip install fiftyone-db == 0 .4.3 fiftyone]"
63,What image file types are supported?,"In general, FiftyOne supports all image typessupported by your browser,
which includes standard image types like JPEG, PNG, and BMP. Some browsers like Safari natively support other image types such as TIFF,
while others do not. You may be able to install a browser extension to work
with additional image types, but Voxel51 does not currently recommend any
such extensions in particular."
64,What video file types are supported?,"Core methods that process videos can generally handle anycodec supported by FFmpeg. The App can play any video codec that is supported byHTML5 video on your browser,
including MP4 (H.264), WebM, and Ogg. If you try to view a video with an
unsupported codec in the App, you will be prompted to use thereencode_videos()utility method
to re-encode the source video so it is viewable in the App. [NOTE: Note You must install FFmpeg in order to work with video
datasets in FiftyOne. See this page for
installation instructions.]"
65,What label types are supported?,"FiftyOne provides support for all of the following label types for both image
and video datasets: Check outthis guidefor simple recipes to
load labels in these formats."
66,What happened to my datasets from previous sessions?,"By default, datasets are non-persistent, which means they are deleted from the
database whenever you exit (all) Python sessions in which you've imported
FiftyOne. To make a dataset persistent, set itspersistentproperty toTrue: Seethis pagefor more details about dataset
persistence. [NOTE: Note FiftyOne does not store the raw data in datasets directly (only the
labels), so your source files on disk are never deleted!]"
67,Why didn't changes to my dataset save?,"Althoughaddingsamples to datasets immediately writes them to the
database, remember that anyeditsthat you make to asampleor itsframe labelswill not be written to the database until
you callsample.save(). Similarly,settingthe properties of aDatasetobject will be immediately
saved, but you must calldataset.save()whenever youeditfields such asinfoorclassesin-place. Refer tothis sectionfor more details about
modifying samples andthis sectionfor more details about
storing dataset-level information."
68,Can I share a dataset with someone else?,"Yes! Here's a couple options: Option 1: Export and share You can easilyexport a datasetin one line of
code, zip it, and share the zip with your collaborator, who can thenload it in a few lines of code. Option 2: Sharing a remote session Alternatively,see this FAQfor
instructions on launching a remote session and inviting collaborator(s) to
connect to it from their local machines."
69,Can I use FiftyOne in multiple shells?,"Yes! Any changes you make to a dataset or its samples in one shell will be
reflected in the other shells whenever you access that dataset. You can also
launchmultiple App instances. Working with the same dataset in multiple shells simultaneously is generally
seamless, even if you are editing the dataset, as theDatasetclass does not
store itsSampleobjects in-memory, it loads them from the database only when
they are requested. Therefore, if you add or modify aSamplein one shell,
you will immediately have access to the updates the next time you request thatSamplein other shells. The one exception to this rule is thatDatasetandSampleobjects
themselves are singletons, so if you hold references to these objects
in-memory, they will not be automatically updated by re-accessing them, since
the existing instances will be returned back to you. If a dataset may have been changed by another process, you can always manually
callDataset.reload()to reload
theDatasetobject and all in-memorySampleinstances that belong to it."
70,Can I launch multiple App instances on a machine?,Yes! Simply specify a differentportfor each App instance that you create.
71,Can I connect multiple App instances to the same dataset?,"Yes, multiple App instances can be connected to the sameDatasetvia remote
sessions. [NOTE: Note Keep in mind that all users must have ssh access to the system from which
the remote session(s) are launched in order to connect to them.] You can achieve multiple connections in two ways: Option 1: Same dataset, multiple sessions The typical way to connect multiple App instances to the same dataset is to
create a separate remote session instance on the machine that houses theDatasetof interest for each local App instance that you want to create.See this FAQfor instructions on
doing this. Option 2: Same dataset, same session Another option is to connect multiple App instances to a single remote session. First,create a remote sessionon the system that
houses theDatasetusing either the CLI or Python: Then one or more users can use the CLI on their local machine toconnect to the remote session. [NOTE: Note When multiple App instances are connected to the same Session , any
actions taken that affect the session (e.g., loading a view ) will be reflected in all connected
App instances.]"
72,Can I connect to multiple remote sessions?,"Yes, you can launch multiple instances of the App locally, each connected to a
different remote session. The key here is to specify a differentlocal portfor each App instance that
you create. Suppose you are connecting to multiple remoteSessioninstances that were
created on different remote systems (e.g., an EC2 instance and a remote server
that you own), using commands similar to: On your local machine, you canconnect to these remote sessionsusing a
different local portXXXXandYYYYfor each. If you do not have FiftyOne installed on your local machine, open a new
terminal window on your local machine and execute the following command to
setup port forwarding to connect to your remote sessions: In the above,[<username#>@]<hostname#>refers to a remote machine andRRRR#is the remote port that you used for the remote session. Alternatively, if you have FiftyOne installed on your local machine, you canuse the CLIto automatically configure port
forwarding and open the App in your browser as follows: [NOTE: Note You can also serve multiple remote sessions from the same machine .]"
73,Can I serve multiple remote sessions from a machine?,"Yes, you can create multiple remote sessions on the same remote machine by
specifying different ports for eachSessionthat you create: On your local machine(s), you can nowconnect to the remote sessions. Connections
can be set up using port forwarding in the following way: In the above,[<username>@]<hostname>refers to your remote machine, andWWWWandZZZZare any 4 digit ports on your local machine(s). Alternatively, if you have FiftyOne installed on your local machine, you canuse the CLIto automatically configure port
forwarding and open the App in your browser as follows:"
74,Can I use my own MongoDB database?,"Yes, you can configure FiftyOne to connect to your own MongoDB instance by
setting thedatabase_uriproperty of yourFiftyOne config. Refer tothis pagefor more information."
75,Too many open files in system?,"If you are a MacOS user and see a âtoo many open files in systemâ error when
performing import/export operations with FiftyOne, then you likely need to
increase the open files limit for your OS. Following the instructions inthis postshould resolve the issue for you."
76,Can I downgrade to an older version of FiftyOne?,"Certainly, refer tothese instructions."
